d,value,feed_id,created_at,lat,lon,ele
0EWSS5ANCG3S4WFP4B6EJZ670Q,21.762693,1754978,2021-11-30 17:12:26 UTC,,,
0EWSS5FAJCST69E8NHNQZWG1QK,21.850586,1754978,2021-11-30 17:12:41 UTC,,,
0EWSS5N7F14H8JA17EJFYRSHWB,21.850586,1754978,2021-11-30 17:13:00 UTC,,,
0EWSS5QWCH9FBGQ1FRM95ZZFT0,21.850586,1754978,2021-11-30 17:13:09 UTC,,,
0EWSS5REPYBHGJCJZ69J9P316W,21.850586,1754978,2021-11-30 17:13:11 UTC,,,
0EWSS5VK80MD3NH0R8NRZPV9BR,22.026365,1754978,2021-11-30 17:13:21 UTC,,,
0EWSS5WBP7EM4A54BR4QX2G04V,22.114254,1754978,2021-11-30 17:13:24 UTC,,,
0EWSS5X13QZ4CWJ3RE1NTY56GG,22.158199,1754978,2021-11-30 17:13:26 UTC,,,
0EWSS5ZEDYB1BRN2JCBYQ35BJP,22.202147,1754978,2021-11-30 17:13:34 UTC,,,
0EWSS60AYT3TWPTD8XT770TKM8,22.158199,1754978,2021-11-30 17:13:37 UTC,,,
0EWSS6101R06MNVAGVTFSQ3X9M,22.158199,1754978,2021-11-30 17:13:39 UTC,,,
0EWSS61QVTHCMC7YXAAY1PR687,22.158199,1754978,2021-11-30 17:13:41 UTC,,,
0EWSS62K4CHMP8WA08C6V7D2KY,22.114254,1754978,2021-11-30 17:13:44 UTC,,,
0EWSS63A7V2MK1JJ7K8QPH3FBE,22.158199,1754978,2021-11-30 17:13:46 UTC,,,
0EWSS63ZPSQEMGQ1QC9NDB76KX,22.158199,1754978,2021-11-30 17:13:49 UTC,,,
0EWSS64BT7YDJ9NWPGN3YXDJY1,22.158199,1754978,2021-11-30 17:13:50 UTC,,,
0EWSS64NQXWNJ08C6DSDDCG9H0,22.158199,1754978,2021-11-30 17:13:51 UTC,,,
0EWSS650CVZ992XR5QDBQBAYVK,22.158199,1754978,2021-11-30 17:13:52 UTC,,,
0EWSS67XP3BQKQXRV452F248FS,22.158199,1754978,2021-11-30 17:14:02 UTC,,,
0EWV9VX15ZX8PQMV3TDJJF5A44,23.652340,1754978,2021-12-02 14:36:14 UTC,,,
0EWV9W02TXSXVHAVTNTC65BZQ2,23.652340,1754978,2021-12-02 14:36:24 UTC,,,
0EWV9W0Q09FWN575EFQVN1ZMJ8,23.652340,1754978,2021-12-02 14:36:26 UTC,,,
0EWV9W130KYGE6WQVR7CWSTJ9S,23.652340,1754978,2021-12-02 14:36:27 UTC,,,
